Date,Open,High,Low,Close,"Adj Close",Volume
2019-12-12,1343.2099609375,1354.5799560547,1338.1999511719,1348.4899902344,1348.4899902344,1455700
2019-12-13,1347.9000244141,1351.3499755859,1341.6600341797,1346.8699951172,1346.8699951172,1658500
2019-12-16,1355,1363.5300292969,1350.6099853516,1360.6999511719,1360.6999511719,1406400
2019-12-17,1362.4100341797,1364.3299560547,1350.7700195312,1354.8900146484,1354.8900146484,1647400
2019-12-18,1357,1359.4300537109,1350.4599609375,1351.9100341797,1351.9100341797,1166500
2019-12-19,1351.9100341797,1357.5300292969,1348.75,1356.4399414062,1356.4399414062,1446100
2019-12-20,1363.0999755859,1364,1350.7299804688,1351.2199707031,1351.2199707031,2504500
2019-12-23,1358.7299804688,1361.8499755859,1348,1350.6300048828,1350.6300048828,996800
2019-12-24,1350.2099609375,1352.0100097656,1344.1700439453,1344.4300537109,1344.4300537109,673400
2019-12-26,1346.5500488281,1363.1999511719,1345.5100097656,1362.4699707031,1362.4699707031,1183100
2019-12-27,1364,1367.0500488281,1353,1354.6400146484,1354.6400146484,1160600
2019-12-30,1356.8100585938,1357,1337.8399658203,1339.7099609375,1339.7099609375,999700
2019-12-31,1335.7900390625,1340.6600341797,1332.1300048828,1339.3900146484,1339.3900146484,975700
2020-01-02,1348.4100341797,1368.6800537109,1346.4899902344,1368.6800537109,1368.6800537109,1363900
2020-01-03,1348,1373.75,1347.3199462891,1361.5200195312,1361.5200195312,1170400
2020-01-06,1351.6300048828,1398.3199462891,1351,1397.8100585938,1397.8100585938,2338400
2020-01-07,1400.4599609375,1403.5,1391.5600585938,1395.1099853516,1395.1099853516,1716500
2020-01-08,1394.8199462891,1411.8499755859,1392.6300048828,1405.0400390625,1405.0400390625,1765700
2020-01-09,1421.9300537109,1428.6800537109,1410.2099609375,1419.7900390625,1419.7900390625,1660000
2020-01-10,1429.4699707031,1434.8399658203,1419.6999511719,1428.9599609375,1428.9599609375,1313178
