Date,Open,High,Low,Close,"Adj Close",Volume
2019-12-12,1750,1764,1745.4399414062,1760.3299560547,1760.3299560547,3095900
2019-12-13,1765,1768.9899902344,1755,1760.9399414062,1760.9399414062,2745700
2019-12-16,1767,1769.5,1757.0500488281,1769.2099609375,1769.2099609375,3145200
2019-12-17,1778.0100097656,1792,1777.3900146484,1790.6600341797,1790.6600341797,3644400
2019-12-18,1795.0200195312,1798.1999511719,1782.3599853516,1784.0300292969,1784.0300292969,3351400
2019-12-19,1780.5,1792.9899902344,1774.0600585938,1792.2800292969,1792.2800292969,2652800
2019-12-20,1799.6199951172,1802.9699707031,1782.4499511719,1786.5,1786.5,5150800
2019-12-23,1788.2600097656,1793,1784.5100097656,1793,1793,2136400
2019-12-24,1793.8100585938,1795.5699462891,1787.5799560547,1789.2099609375,1789.2099609375,881300
2019-12-26,1801.0100097656,1870.4599609375,1799.5,1868.7700195312,1868.7700195312,6005400
2019-12-27,1882.9200439453,1901.4000244141,1866.0100097656,1869.8000488281,1869.8000488281,6186600
2019-12-30,1874,1884,1840.6199951172,1846.8900146484,1846.8900146484,3674700
2019-12-31,1842,1853.2600097656,1832.2299804688,1847.8399658203,1847.8399658203,2506500
2020-01-02,1875,1898.0100097656,1864.1500244141,1898.0100097656,1898.0100097656,4029000
2020-01-03,1864.5,1886.1999511719,1864.5,1874.9699707031,1874.9699707031,3764400
2020-01-06,1860,1903.6899414062,1860,1902.8800048828,1902.8800048828,4061800
2020-01-07,1904.5,1913.8900146484,1892.0400390625,1906.8599853516,1906.8599853516,4044900
2020-01-08,1898.0400390625,1911,1886.4399414062,1891.9699707031,1891.9699707031,3508000
2020-01-09,1909.8900146484,1917.8199462891,1895.8000488281,1901.0500488281,1901.0500488281,3167300
2020-01-10,1905.3699951172,1906.9399414062,1880,1883.1600341797,1883.1600341797,2856959
